latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
52.53638,17.55275,325.39,1.53,1.22,2024-06-27,0117,A,100,6.1NRT,285.87,45.7,N
37.43896,15.03858,304.98,1.29,1.13,2024-06-27,0120,A,62,6.1NRT,293.18,8.86,N
30.88811,5.66333,306.9,4.31,1.92,2024-06-27,0122,A,70,6.1NRT,293.67,48.17,N
29.23617,19.70015,334.12,1.19,1.09,2024-06-27,0122,A,100,6.1NRT,294.83,42.98,N
28.90863,20.95899,326.37,1.41,1.18,2024-06-27,0122,A,100,6.1NRT,298.28,37.25,N
29.07536,19.06082,312.24,1.12,1.06,2024-06-27,0122,A,84,6.1NRT,296.62,11.77,N
28.91441,19.77308,343.82,1.22,1.1,2024-06-27,0122,A,100,6.1NRT,296.7,64.89,N
28.91228,19.78522,332.33,1.22,1.1,2024-06-27,0122,A,100,6.1NRT,296.64,40.7,N
28.91309,19.76581,305.22,1.22,1.1,2024-06-27,0122,A,63,6.1NRT,294.9,6.71,N
28.911,19.7781,343.75,1.22,1.1,2024-06-27,0122,A,100,6.1NRT,297.58,65.31,N
28.06415,19.91196,309.47,1.27,1.12,2024-06-27,0122,A,77,6.1NRT,297.06,10.81,N
-17.53564,177.79149,320.76,1.37,1.16,2024-06-27,0215,A,78,6.1NRT,297.55,21.24,D
-16.73295,178.71431,310.54,1.18,1.08,2024-06-27,0215,A,70,6.1NRT,298.41,7.01,D
-16.73444,178.70323,321.75,1.18,1.08,2024-06-27,0215,A,81,6.1NRT,298.38,19.17,D
66.77924,-160.04932,326.2,3.35,1.73,2024-06-27,0100,A,28,6.1NRT,292.79,110.61,D
67.34026,161.25891,307.63,1.86,1.33,2024-06-27,0102,A,66,6.1NRT,288.21,18.82,D
64.58421,-155.76512,331.79,4.61,1.97,2024-06-27,0058,A,64,6.1NRT,292.62,256.92,D
64.56805,-155.77719,316.09,4.61,1.97,2024-06-27,0058,A,39,6.1NRT,293.69,106.54,D
64.58568,-155.77673,333.56,4.61,1.97,2024-06-27,0058,A,65,6.1NRT,292.1,274.16,D
65.99299,-157.24976,315.56,4.11,1.88,2024-06-27,0058,A,51,6.1NRT,289.89,78.38,D
66.78392,-160.12354,324.4,3.34,1.72,2024-06-27,0058,A,61,6.1NRT,292.36,100.29,D
-28.49173,-60.90873,308.7,1.3,1.13,2024-06-27,0152,T,75,6.1NRT,278.44,18.97,N
-28.49319,-60.9219,308.05,1.31,1.13,2024-06-27,0152,T,73,6.1NRT,278.07,18.35,N
-26.74692,-61.45565,310.54,1.33,1.14,2024-06-27,0154,T,80,6.1NRT,276.16,22.3,N
-26.10163,-61.49604,314.71,1.32,1.14,2024-06-27,0154,T,90,6.1NRT,279.49,26.99,N
-26.1031,-61.50905,300.57,1.32,1.14,2024-06-27,0154,T,30,6.1NRT,276.63,12.9,N
17.82199,-71.41245,307.72,1.44,1.19,2024-06-27,0204,T,56,6.1NRT,287.17,11.91,N
-19.6221,-57.18458,300.38,1.12,1.05,2024-06-27,0154,T,26,6.1NRT,283.92,8.15,N
19.72003,-70.40018,310.21,1.17,1.08,2024-06-27,0206,T,70,6.1NRT,280.16,11.54,N
-18.61769,-57.54737,307.73,1.1,1.05,2024-06-27,0154,T,72,6.1NRT,286.27,11.19,N
-18.61923,-57.55763,306.46,1.1,1.05,2024-06-27,0154,T,68,6.1NRT,286.92,9.96,N
-18.6634,-58.29014,317.38,1.04,1.02,2024-06-27,0154,T,95,6.1NRT,285.96,18.91,N
-18.65296,-58.28196,322.22,1.04,1.02,2024-06-27,0154,T,100,6.1NRT,286.24,23.53,N
-18.65437,-58.29164,319.75,1.04,1.02,2024-06-27,0154,T,99,6.1NRT,285.86,20.94,N
-18.43493,-57.43177,321.57,1.12,1.06,2024-06-27,0154,T,100,6.1NRT,287.37,24.73,N
-18.43649,-57.44217,312.92,1.12,1.05,2024-06-27,0154,T,86,6.1NRT,285.27,15.82,N
-18.42087,-57.4021,319.77,1.12,1.06,2024-06-27,0154,T,99,6.1NRT,288.2,22.7,N
-18.40993,-57.39326,312.78,1.13,1.06,2024-06-27,0154,T,86,6.1NRT,284.73,14.96,N
